,Year,Month,State,Precipitation
0,1896,1,COLORADO,1.0170396292551092
1,1896,2,COLORADO,1.1263299872768884
2,1896,3,COLORADO,1.4245586632488105
3,1896,4,COLORADO,1.7215554167222868
4,1896,5,COLORADO,1.754289000567698
5,1896,6,COLORADO,1.1891087330961088
6,1896,7,COLORADO,2.2628158311892848
7,1896,8,COLORADO,1.8797605242123598
8,1896,9,COLORADO,1.5657372231865194
9,1896,10,COLORADO,1.2926340082658956
10,1896,11,COLORADO,1.113845218770639
11,1896,12,COLORADO,1.1412255607055821
12,1896,1,KANSAS,0.8847225365703432
13,1896,2,KANSAS,0.7349131184610931
14,1896,3,KANSAS,1.1803107608534709
15,1896,4,KANSAS,4.012665621673683
16,1896,5,KANSAS,3.7306342906668455
17,1896,6,KANSAS,3.912689235169239
18,1896,7,KANSAS,3.3817340147845583
19,1896,8,KANSAS,3.0089102560737397
20,1896,9,KANSAS,2.808880074749466
21,1896,10,KANSAS,2.0282749736104364
22,1896,11,KANSAS,0.8256575985176773
23,1896,12,KANSAS,0.7854789080994802
24,1896,1,MINNESOTA,0.7052379222658495
25,1896,2,MINNESOTA,0.7060589906679291
26,1896,3,MINNESOTA,1.1844538403907112
27,1896,4,MINNESOTA,2.8665875895775406
28,1896,5,MINNESOTA,3.47139851572374
29,1896,6,MINNESOTA,3.9880545731608277
30,1896,7,MINNESOTA,3.1896454397958878
31,1896,8,MINNESOTA,3.2614473704845786
32,1896,9,MINNESOTA,2.7047146550122414
33,1896,10,MINNESOTA,1.7365118069458436
34,1896,11,MINNESOTA,1.3627446608813887
35,1896,12,MINNESOTA,0.8430905414632393
36,1896,1,MONTANA,1.3273830944819958
37,1896,2,MONTANA,1.2346906409627985
38,1896,3,MONTANA,1.3122941179201222
39,1896,4,MONTANA,1.7621953901500813
40,1896,5,MONTANA,2.2944934738786724
41,1896,6,MONTANA,2.7843718703919422
42,1896,7,MONTANA,1.4476404976903066
43,1896,8,MONTANA,1.2595963130896215
44,1896,9,MONTANA,1.4769776598537125
45,1896,10,MONTANA,1.3249018926793168
46,1896,11,MONTANA,1.9107778556775843
47,1896,12,MONTANA,1.0297156449410272
48,1896,1,NEBRASKA,0.5071192863915991
49,1896,2,NEBRASKA,0.48315691407337286
50,1896,3,NEBRASKA,0.9542265410272737
51,1896,4,NEBRASKA,2.7647995934433856
52,1896,5,NEBRASKA,3.3083749446799255
53,1896,6,NEBRASKA,3.892050350081498
54,1896,7,NEBRASKA,2.954663911916116
55,1896,8,NEBRASKA,2.669483516355502
56,1896,9,NEBRASKA,2.081729697099378
57,1896,10,NEBRASKA,1.3514556942829674
58,1896,11,NEBRASKA,0.7784663004305286
59,1896,12,NEBRASKA,0.37485015695119356
60,1896,1,NORTH DAKOTA,0.5158069821721464
61,1896,2,NORTH DAKOTA,0.510543777501006
62,1896,3,NORTH DAKOTA,0.9202305407991728
63,1896,4,NORTH DAKOTA,2.2703776524222987
64,1896,5,NORTH DAKOTA,3.3361397877254855
65,1896,6,NORTH DAKOTA,3.501258684366281
66,1896,7,NORTH DAKOTA,2.1767438550088105
67,1896,8,NORTH DAKOTA,2.0637583404027913
68,1896,9,NORTH DAKOTA,1.6221714825727296
69,1896,10,NORTH DAKOTA,0.7976301665107499
70,1896,11,NORTH DAKOTA,1.4122721166952519
71,1896,12,NORTH DAKOTA,0.4948762044511016
72,1896,1,OKLAHOMA,1.871368853203283
73,1896,2,OKLAHOMA,0.7658361756586113
74,1896,3,OKLAHOMA,1.865216511369129
75,1896,4,OKLAHOMA,2.813071283753247
76,1896,5,OKLAHOMA,4.617770023945462
77,1896,6,OKLAHOMA,3.8740938450363864
78,1896,7,OKLAHOMA,2.9032932823673603
79,1896,8,OKLAHOMA,3.031756856254719
80,1896,9,OKLAHOMA,2.5394281299532055
81,1896,10,OKLAHOMA,2.2819378224948688
82,1896,11,OKLAHOMA,1.6853527668181292
83,1896,12,OKLAHOMA,1.1561860571554046
84,1896,1,SOUTH DAKOTA,0.5563212490172244
85,1896,2,SOUTH DAKOTA,0.5732483259993725
86,1896,3,SOUTH DAKOTA,1.1387198569477373
87,1896,4,SOUTH DAKOTA,2.8723342179827474
88,1896,5,SOUTH DAKOTA,2.9095343378833145
89,1896,6,SOUTH DAKOTA,3.58498457973625
90,1896,7,SOUTH DAKOTA,2.4799491448674034
91,1896,8,SOUTH DAKOTA,1.731701758663937
92,1896,9,SOUTH DAKOTA,1.6721814138025783
93,1896,10,SOUTH DAKOTA,1.0540328326092372
94,1896,11,SOUTH DAKOTA,1.0913827213908858
95,1896,12,SOUTH DAKOTA,0.4025981807087034
96,1896,1,TEXAS,1.596311866694288
97,1896,2,TEXAS,1.7130565705984013
98,1896,3,TEXAS,1.404021856195581
99,1896,4,TEXAS,2.5870482928306786
100,1896,5,TEXAS,2.8635121173709313
101,1896,6,TEXAS,2.38599436708313
102,1896,7,TEXAS,2.392443419932614
103,1896,8,TEXAS,2.272813641082179
104,1896,9,TEXAS,3.4070793835911877
105,1896,10,TEXAS,2.2749028275324417
106,1896,11,TEXAS,1.4333114364899975
107,1896,12,TEXAS,1.4583199694089868
108,1897,1,COLORADO,1.1423044194527772
109,1897,2,COLORADO,1.2096495490659664
110,1897,3,COLORADO,1.5726892339100642
111,1897,4,COLORADO,1.8035680780527878
112,1897,5,COLORADO,2.0733823092652983
113,1897,6,COLORADO,1.614409030498355
114,1897,7,COLORADO,1.9996613671265826
115,1897,8,COLORADO,2.074298247825538
116,1897,9,COLORADO,1.5989108946226886
117,1897,10,COLORADO,1.4464434940978972
118,1897,11,COLORADO,0.9207960147729594
119,1897,12,COLORADO,1.0002050706018069
120,1897,1,KANSAS,0.8344177323738634
121,1897,2,KANSAS,1.165149222781328
122,1897,3,KANSAS,1.4071327954961854
123,1897,4,KANSAS,3.362444638123294
124,1897,5,KANSAS,3.495958393974382
125,1897,6,KANSAS,3.5981408455217765
126,1897,7,KANSAS,3.157027843068702
127,1897,8,KANSAS,3.396964397276926
128,1897,9,KANSAS,2.6609609182128184
129,1897,10,KANSAS,2.2810063540271117
130,1897,11,KANSAS,0.882118171720018
131,1897,12,KANSAS,1.2904207203134033
132,1897,1,MINNESOTA,1.000636739229428
133,1897,2,MINNESOTA,0.9057682683465639
134,1897,3,MINNESOTA,1.3388440345404586
135,1897,4,MINNESOTA,1.7950238031849175
136,1897,5,MINNESOTA,2.626054323192028
137,1897,6,MINNESOTA,3.9491164020017164
138,1897,7,MINNESOTA,4.736209473892022
139,1897,8,MINNESOTA,2.969873452748528
140,1897,9,MINNESOTA,1.8706332528094296
141,1897,10,MINNESOTA,1.6115256647794018
142,1897,11,MINNESOTA,0.8514017950580035
143,1897,12,MINNESOTA,0.7024742505655089
144,1897,1,MONTANA,1.1710695250104768
145,1897,2,MONTANA,1.296805753692104
146,1897,3,MONTANA,1.2690038163180735
147,1897,4,MONTANA,1.433702056687981
148,1897,5,MONTANA,2.1684330610798876
149,1897,6,MONTANA,3.5082605882505153
150,1897,7,MONTANA,1.6083301734404558
